country_or_area,year,demand,production,exports,imports,geothermal,hydro,solar,tide,wind
Germany,2007,574749,640578,62508,45953,0,28084,3075,0,39713
Germany,2008,572921,640406,61770,41670,18,26469,4420,0,40574
Germany,2006,572843,639492,65441,48464,0,26768,2220,0,30710
Germany,2013,561805,638729,71415,39222,80,28782,31010,0,51708
India,2003,595261,633372,58,1748,0,75339,0,0,3402
Germany,2010,571258,632983,57917,42962,28,27353,11729,0,37793
Canada,2012,567179,632921,57639,10841,0,380340,319,27,11310
Canada,2011,574075,629901,51076,14398,0,375797,260,26,10187
Germany,2012,564077,629812,66810,46268,25,27849,26380,0,50670
Canada,2008,577875,629473,55491,23261,0,377561,35,15,3788
Germany,2014,550064,627795,74320,40435,98,25444,36056,0,57357
Canada,2007,575831,626521,49332,18431,0,367695,26,23,3007
Germany,2005,568656,622579,61427,56861,0,26417,1282,0,27229
Canada,2005,578172,621705,42332,18680,0,362031,17,28,1567
China,1990,584260,621200,90,1930,0,126720,0,0,0
Germany,2004,566296,617469,50808,48187,0,26460,557,0,25509
Germany,2011,565359,613068,54768,51003,19,23511,19599,0,48883
Germany,2003,558430,608779,52379,49110,0,22897,313,0,18713
Canada,2006,570451,607470,39742,22075,0,352963,21,19,2473
Canada,2009,554446,606346,51152,17493,0,368762,5,30,6641
Canada,2000,550811,605707,50983,15342,0,358620,16,32,264
Canada,2002,561867,601269,36117,16088,0,350665,22,32,408
Canada,2004,569498,599976,33666,22857,0,340946,13,31,954
India,2002,559722,596633,175,1520,0,64104,0,0,2511
Canada,2010,552541,595951,43627,18609,0,351461,117,28,8724
Germany,2009,538669,595617,54132,41859,19,24682,6584,0,38647
Brazil,2014,615629,590541,3,33778,0,373439,16,0,12211
Canada,2001,547185,589891,39244,16116,0,333430,19,32,337
Canada,2003,563541,589653,31311,24520,0,337556,23,33,826
Germany,2002,552967,586694,38372,48370,0,27864,188,0,15856
Germany,2001,545796,586406,42122,45779,0,27253,116,0,10456
India,2001,543867,579120,187,1540,0,73579,0,0,2085
Canada,1999,530347,579056,44896,16016,0,345874,13,32,164
Germany,2000,535503,576543,42077,45134,0,25962,60,0,9352
France,2005,483067,576064,68390,8062,0,56332,13,481,962
France,2006,478387,574874,71863,8522,0,61742,16,464,2182
France,2004,480092,574055,68477,6571,0,64899,9,470,595
Canada,1997,520449,573711,45230,9499,0,350809,7,32,62
France,2008,493679,573516,58736,10748,0,68368,42,465,5694
Canada,1996,518268,573040,43839,6183,0,355758,6,32,62
France,2013,492946,572308,60148,11687,0,75867,4735,414,16034
Brazil,2013,603506,570838,0,40334,0,390992,7,0,6579
France,2007,479474,569426,67595,10782,0,63260,27,465,4070
France,2010,506802,569097,50188,19475,0,67525,620,476,9945
France,2003,468498,566839,73373,6959,0,64279,8,490,388
France,2012,489962,565704,56734,12213,0,63594,4016,458,14914
France,2014,464250,562776,75063,7873,0,68626,5909,481,17249
Canada,1998,516533,561760,44612,17277,0,332001,10,32,62
France,2011,473096,561448,65914,9501,0,49865,2078,477,12051
India,2000,527212,560842,195,1497,0,74362,0,0,1582
Canada,1995,506766,560116,43444,7422,0,336034,4,33,59
France,2002,450307,559064,80739,3705,0,65831,7,494,265
Germany,1998,511608,556393,38953,38315,0,21234,35,0,4593
Germany,1999,513919,556300,39558,40598,0,23402,30,0,5528
Canada,1994,494576,555784,50919,7005,0,329945,3,33,59
Germany,1996,505236,555372,42670,37404,0,26638,12,0,2078
Brazil,2012,586624,552498,467,40722,0,415342,0,0,5050
Germany,1997,504779,551554,40361,38012,0,20900,18,0,3034
"Korea, Republic of",2014,523363,550933,0,0,0,7820,2557,492,1146
France,2001,451738,549530,72861,4471,0,78511,6,485,131
"Korea, Republic of",2013,516062,541996,0,0,0,8394,1605,484,1149
France,2000,440025,539954,73174,3695,0,71133,5,507,48
Germany,1991,494839,539634,30991,30416,0,18699,1,0,215
Germany,1992,488332,537470,33738,28418,0,21195,4,0,291
Germany,1995,497852,537284,34911,39735,0,26250,7,0,1712
India,1999,500392,536452,201,1540,0,80854,0,0,1509
France,2009,479251,535635,44451,18517,0,61969,174,448,7912
"Korea, Republic of",2012,509557,534618,0,0,0,7652,1103,0,917
Canada,1993,488572,532228,34968,7551,0,323667,3,33,59
Brazil,2011,562570,531759,2544,38430,0,428333,0,0,2705
Germany,1994,487991,529160,33571,35908,0,23885,7,0,1428
Germany,1993,483965,526276,32758,33628,0,21667,3,0,674
France,1999,433032,525806,68108,4965,0,77083,2,515,37
"Korea, Republic of",2011,498893,523286,0,0,0,7831,917,0,863
Canada,1992,479327,520390,31528,6477,0,316489,2,33,59
Brazil,2010,544762,515798,1257,35906,0,403289,0,0,2177
France,1996,416206,513398,72428,3617,0,70282,1,491,7
France,1998,424647,511276,62152,4590,0,66103,2,522,19
Canada,1991,474490,508572,24522,6094,0,308375,0,32,0
France,1997,411423,504770,69634,4238,0,67559,2,510,11
"Korea, Republic of",2010,476729,499508,0,0,0,6472,772,0,817
India,1998,462403,496924,270,1385,0,83003,0,0,1127
France,1995,398529,494274,72701,2860,0,76192,1,507,5
Canada,1990,467185,482152,18130,17781,0,296848,0,26,0
France,1994,389235,476868,66886,3718,0,81069,1,501,5
France,1993,386068,472707,65093,3663,0,67948,0,494,2
Brazil,2009,500929,466158,1080,40746,0,390988,0,0,1238
India,1997,432137,465825,321,1385,0,74661,0,0,1037
France,1992,384329,463639,58533,4737,0,72584,0,516,0
Brazil,2008,499647,463120,689,42901,0,369556,0,0,837
France,1991,376586,455555,58409,5516,0,61545,0,517,0
"Korea, Republic of",2009,431265,454504,0,0,0,5641,566,0,685
"Germany, Fed. R. (former)",1990,423839,452539,21700,22000,0,19200,0,0,43
"Korea, Republic of",2008,425418,446428,0,0,0,5563,285,0,436
Brazil,2007,479031,445094,2034,40866,0,374015,0,0,645
India,1996,405817,436879,84,1577,0,68919,0,0,926
"Korea, Republic of",2007,408553,427316,0,0,0,5042,70,0,376
France,1990,350771,420751,52112,6674,0,57418,0,503,0
Brazil,2006,456737,419336,283,41447,0,348805,0,0,0
India,1995,388852,418043,50,1572,0,72596,0,0,498
"Korea, Republic of",2006,385890,404021,0,0,0,5219,31,0,239
Brazil,2005,438190,402938,160,39202,0,337457,0,0,0
United Kingdom,2005,385097,398355,2839,11160,0,7852,8,0,2904
United Kingdom,2003,378686,398207,2959,5119,0,5961,3,0,1285
United Kingdom,2006,381378,397282,2765,10282,0,8446,11,0,4225
United Kingdom,2007,379280,396830,3398,8613,0,8936,14,0,5274
United Kingdom,2004,380897,393936,2294,9784,0,7492,4,0,1935
"Korea, Republic of",2005,370815,389390,0,0,0,5189,15,0,130
United Kingdom,2008,378204,388894,1271,12294,0,9234,17,0,7124
Brazil,2004,421359,387451,7,37392,0,320797,0,0,0
United Kingdom,2002,375072,387247,768,9182,0,7439,3,0,1256
India,1994,358929,385557,57,1480,0,82727,0,0,182
United Kingdom,2001,374581,384790,264,10663,0,6478,2,0,965
United Kingdom,2010,364112,381771,4481,7144,0,6715,41,2,10255
United Kingdom,2000,371440,377069,134,14308,0,7780,1,0,947
United Kingdom,2009,358167,376720,3748,6609,0,8915,20,1,9283
"Korea, Republic of",2004,350731,368162,0,0,0,5880,10,0,47
United Kingdom,1999,361916,368152,263,14507,0,8238,1,0,850
United Kingdom,2011,353372,367423,2467,8689,0,8585,244,1,15652
Brazil,2003,398099,364339,6,37151,0,305616,0,0,0
United Kingdom,2012,353504,363582,1872,13743,0,8252,1352,4,19835
United Kingdom,1998,355408,362703,131,12839,0,6742,0,0,877
United Kingdom,2013,351777,359168,3102,17532,0,7606,1989,6,28421
India,1993,330463,356335,101,1547,0,70478,0,0,57
United Kingdom,1996,349113,350869,37,16792,0,4949,0,0,488
United Kingdom,1997,348204,350666,41,16615,0,5655,0,0,667
Brazil,2000,391310,348909,7,44345,0,304403,0,0,0
Brazil,2002,378781,345671,7,36580,0,286092,0,0,0
"Korea, Republic of",2003,327432,345192,0,0,0,6903,8,0,25
United Kingdom,2014,339043,338925,2723,23244,0,8768,4050,2,32015
Brazil,1999,372847,334716,7,39968,0,293000,0,0,0
United Kingdom,1995,330656,334041,23,16336,0,6390,0,0,391
India,1992,308238,332713,146,1352,0,69886,0,0,52
"Korea, Republic of",2002,314137,331882,0,0,0,5311,7,0,15
Brazil,2001,364055,328509,6,37854,0,267876,0,0,0
United Kingdom,1994,323823,326487,0,16887,0,6557,0,0,342
United Kingdom,1993,318574,323102,5,16721,0,5739,0,0,218
United Kingdom,1991,317062,322875,15,16422,0,6147,0,0,11
Brazil,1998,359435,321748,8,39412,0,291469,0,0,0
United Kingdom,1992,315239,321043,31,16725,0,7128,0,0,40
United Kingdom,1990,309445,319737,47,11990,0,7189,0,0,9
Italy,2008,339482,319131,3398,43433,5520,47227,193,0,4861
India,1991,292414,315631,53,1506,0,72775,0,0,39
Italy,2006,337492,314122,1611,46596,5527,43425,35,0,2971
Italy,2007,339928,313888,2648,48931,5569,38482,38,0,4034
Spain,2008,286773,313758,16920,5881,0,26144,2578,0,32946
Saudi Arabia,2014,304240,311806,0,0,0,0,1,0,0
"Korea, Republic of",2001,295471,310958,0,0,0,5972,6,0,13
Brazil,1997,346793,307980,8,40478,0,278972,0,0,0
Mexico,2012,285466,307268,1116,2177,5817,31883,69,0,3688
Spain,2007,283123,305052,14524,8773,0,30522,508,0,27568
Italy,2005,330471,303700,1109,50264,5324,42927,31,0,2344
Italy,2004,325382,303347,791,46426,5437,49908,29,0,1847
Mexico,2011,279398,302785,1293,596,6507,36247,41,0,1648
Italy,2011,334634,302582,1787,47519,5654,47757,10796,0,9856
Italy,2010,330454,302063,1827,45987,5376,54406,1906,0,9126
Spain,2010,278160,301527,13539,5206,0,45511,7186,0,44271
Mexico,2014,289521,301496,2653,2124,6000,38893,221,0,6426
Spain,2006,279166,299454,12373,9093,0,29831,119,0,23297
Italy,2012,328216,299277,2304,45407,5592,43854,18862,0,13407
Spain,2012,270350,297559,18986,7787,0,24162,11968,0,49472
Mexico,2013,287060,297326,1240,1210,6070,28002,106,0,4185
Spain,2009,271607,294620,14855,6751,0,29162,6064,0,38117
Spain,2005,274429,294077,11555,10212,0,23025,41,0,21176
Italy,2003,320677,293885,518,51486,5341,44277,24,0,1458
Spain,2011,273972,293848,14023,7932,0,32911,9400,0,42918
Italy,2009,320267,292640,2111,47070,5342,53443,676,0,6543
Brazil,1996,325539,291244,8,36566,0,265769,0,0,0
"Korea, Republic of",2000,275573,290126,0,0,0,5610,5,0,17
Italy,2013,318476,289807,2200,44338,5659,54672,21589,0,14897
India,1990,268044,289439,64,1440,0,71656,0,0,32
Spain,2013,262739,285632,16638,9887,0,41052,13097,0,55646
Italy,2002,310742,285275,922,51519,4662,47261,21,0,1404
Saudi Arabia,2013,277455,284017,0,0,0,0,1,0,0
Spain,2004,261108,280007,11139,8111,0,34439,56,0,15700
Italy,2014,310535,279827,3031,46747,5916,60256,22306,0,15178
Italy,2001,304847,279009,549,48926,4507,53926,19,0,1179
Spain,2014,259772,278750,15716,12310,0,42970,13673,0,52013
Italy,2000,298522,276641,484,44831,4705,50899,18,0,563
Brazil,1995,308073,275601,0,35352,0,253905,0,0,0
Mexico,2010,263385,275537,1348,397,6618,37131,31,0,1239
Iran (Islamic Rep. of),2014,259832,274609,9660,3772,0,13862,0,0,358
Saudi Arabia,2012,264854,271680,0,0,0,0,1,0,0
Mexico,2008,257352,269315,1452,351,7056,39194,19,0,269
Mexico,2009,255843,267754,1249,346,6740,26718,27,0,596
Italy,1999,285855,265667,528,42538,4403,51777,17,0,403
Mexico,2007,250681,265208,1451,277,7404,27276,9,0,262
South Africa,2007,241168,263479,14496,11348,0,3847,21,0,32
South Africa,2011,240527,262538,14964,11890,0,5019,1,0,37
Iran (Islamic Rep. of),2013,245418,262434.07,11586,3707,0,14582,0.07,0,376
Brazil,1994,290825,261786,0,31767,0,242705,0,0,0
Spain,2003,246793,260727,8257,9520,0,43897,41,0,12075
Other Asia,2014,244755,260025,0,0,0,7439,552,0,1500
Italy,1998,279327,259800,901,41633,4214,47365,16,0,231
South Africa,2010,238275,259608,14668,12193,0,5067,7,0,34
South Africa,2008,235928,258291,14168,10572,0,3975,21,0,85
South Africa,2012,234174,257919,15035,10006,0,4211,39,0,37
Mexico,2006,244228,257750,1299,523,6685,30394,10,0,59
Brazil,1993,281186,256699,11,27561,0,238435,0,0,0
South Africa,2013,233102,256073,13929,9428,0,4040,243,0,37
Iran (Islamic Rep. of),2012,238586,254276.06,11029,3897,0,12447,0.06,0,207
Australia,2011,240790,253958,0,0,1,16807,1530,0,6085
South Africa,2006,232342,253798,13589,10624,0,5845,21,0,32
Australia,2010,237339,252698,0,0,1,13549,426,0,5052
South Africa,2014,231445,252578,13836,11177,0,4082,1120,0,1070
Ukraine,1992,232017,252524,20502,15417,0,8090,0,0,0
Other Asia,2013,237719,252351,0,0,0,8610,338,0,1640
Other Asia,2011,236694,252016,0,0,0,6902,33,0,1371
Turkey,2014,244706,251963,2696,7953,2364,40645,17,0,8520
Italy,1997,271401,251473,995,39827,3905,46552,15,0,118
Australia,2012,236716,251165,0,0,1,14083,2559,0,6970
Mexico,2005,234193,250718,1788,116,7299,27659,9,0,19
Other Asia,2012,235630,250336,0,0,0,8606,276,0,1262
Saudi Arabia,2011,243949,250077,0,0,0,0,0,0,0
Australia,2013,235703,249720,0,0,1,18270,3826,0,7960
South Africa,2009,229595,249557,14052,12295,0,4142,21,0,85
Australia,2009,232028,248754,0,0,1,11869,160,0,3824
Australia,2014,233408,248299,0,0,1,18421,4858,0,10252
Other Asia,2010,231656,246996,0,0,0,7255,23,0,976
Spain,2002,231113,244963,7175,12504,0,26270,30,0,9342
South Africa,2005,224601,244922,13422,11079,0,4199,21,0,32
South Africa,2004,222931,244607,13254,9818,0,4625,21,0,32
Italy,1996,262881,244433,760,38149,3762,47072,14,0,33
Australia,2008,227821,243221,0,0,1,12057,127,0,3093
Australia,2007,226764,243157,0,0,1,14517,109,0,2611
Other Asia,2007,226663,243121,0,0,0,8350,2,0,444
Brazil,1992,262565,241731,8,24022,0,223343,0,0,0
Italy,1995,261017,241489,1235,38662,3436,41907,13,0,9
Turkey,2013,235179,240154,1227,7429,1364,59420,0,0,7557
Saudi Arabia,2010,234371,240067,0,0,0,0,0,0,0
Iran (Islamic Rep. of),2011,226558,240052.05,8668,3656,0,12058,0.05,0,217
Turkey,2012,230580,239496,2954,5827,899,57865,0,0,5860
Other Asia,2008,222871,238313,0,0,0,7772,4,0,589
Mexico,2004,222610,237583,1346,72,6577,25206,9,0,20
"Korea, Republic of",1999,223987,237503,0,0,0,6066,5,0,6
Mexico,2003,205922,236217,953,87,6282,19880,8,0,19
Spain,2001,225278,236043,6727,10177,0,43864,24,0,6759
Other Asia,2006,219291,235464,0,0,0,7999,1,0,277
Brazil,1991,258344,234366,8,27088,0,217782,0,0,0
South Africa,2003,214787,234229,10263,8194,0,3682,21,0,32
Iran (Islamic Rep. of),2010,221173,232964.69,6707,3015,0,9526,0.09,0,163
Australia,2006,218215,232830,0,0,1,16029,91,0,1713
Italy,1994,253621,231813,1096,38695,3417,47731,11,0,7
Ukraine,1993,212550,229907,17317,15773,0,11237,0,0,0
Australia,2004,215609,229784,0,0,0,16331,69,0,705
Other Asia,2009,214379,229694,0,0,0,7053,8,0,787
Turkey,2011,218469,229393,3645,4556,694,52338,0,0,4723
Australia,2005,214012,228650,0,0,0,15612,79,0,885
Australia,2002,212804,227555,0,0,0,16054,50,0,364
Other Asia,2005,211931,227362,0,0,0,7825,1,0,91
Italy,1992,244797,226254,647,35947,3459,45786,9,0,2
"Korea, Republic of",1997,211405,224704,0,0,0,5403,3,0,1
Australia,2001,206186,224635,0,0,0,16933,44,0,210
Spain,2000,213975,224472,7827,12268,0,31807,18,0,4727
Brazil,1990,244575,222820,7,24804,0,206708,0,0,0
Italy,1993,246614,222802,677,40109,3667,44482,11,0,4
Australia,2003,208306,222121,0,0,0,16490,59,0,703
Italy,1991,240795,221816,372,35454,3182,45606,5,0,3
Iran (Islamic Rep. of),2009,208801,221371.67,6152,2068,0,7233,0.07,0,225
Indonesia,2014,224780,220793.8,0,8990,9996,18800,6.8,0,0
Other Asia,2004,203634,218397,0,0,0,6556,1,0,25
Mexico,2002,206804,218221,344,546,5398,24951,8,0,21
"Korea, Republic of",1998,205690,217889,0,0,0,6099,4,0,2
South Africa,2002,204677,217712,7242,9496,0,4394,21,0,32
Saudi Arabia,2009,211437,217082,0,0,0,0,0,0,0
Italy,1990,234937,216600,922,35577,3222,35079,4,0,2
Indonesia,2013,214165,216185.9,0,2990,9414,16930,5.5,0,1.4
Iran (Islamic Rep. of),2008,203985,214530.18,3875,1684,0,5003,0.08,0,196
Mexico,2001,201109,213988,271,327,5567,28502,8,0,18
Turkey,2010,202272,211208,1918,1144,668,51796,0,0,2916
South Africa,2000,195663,210670,4007,4719,0,3934,0,0,0
Australia,2000,194832,210224,0,0,0,16720,38,0,58
South Africa,2001,197537,210100,6996,9200,0,3912,0,0,0
South Africa,1997,187176,210052,6617,5,0,4700,0,0,0
Other Asia,2003,193864,209072,0,0,0,6896,0,0,24
Spain,1999,201130,208451,6240,11959,0,25437,17,0,2744
Mexico,2000,195978,205675,195,1069,5901,33133,7,0,19
"Korea, Republic of",1996,192973,205382,0,0,0,5201,3,0,0
South Africa,1998,187986,205375,4093,2375,0,4016,0,0,0
Saudi Arabia,2008,198809,204200,0,0,0,0,0,0,0
Australia,1999,189494,203987,0,0,0,16563,34,0,28
Iran (Islamic Rep. of),2007,195400,203985.57,2520,1842,0,17987,0.07,0,143
South Africa,1999,190120,203012,4266,6673,0,3316,0,0,0
Ukraine,1994,187547,202922,13420,12378,0,12327,0,0,0
South Africa,1996,179112,200266,5579,29,0,3539,0,0,0
Ukraine,2012,171930,198878,11560,93,0,10994,333,0,288
Other Asia,2002,184471,198830,0,0,0,6368,0,0,8
Turkey,2008,189430,198418,1122,789,162,33270,0,0,847
Ukraine,2007,171833,196251,12554,3383,0,10259,0,0,45
Indonesia,2012,192830,196180.9,0,2440,9417,12799,2.9,0,5
Australia,1998,182365,195369,0,0,0,15733,28,0,8
Spain,1998,188121,195209,5562,8964,0,35806,15,0,1352
Ukraine,2011,173343,194947,6327,35,0,10946,30,0,89
Turkey,2009,185885,194812,1546,812,436,35958,0,0,1495
Ukraine,2013,168219,194377,9929,39,0,14472,570,0,639
Ukraine,1995,176969,194318,12678,9726,0,10150,0,0,0
Ukraine,2006,167698,193381,12519,2082,0,13034,0,0,35
Iran (Islamic Rep. of),2006,184418.78,192681.78,2775,2541,0,18266,0.08,0,125
Ukraine,2008,170678,192586,8831,2101,0,11512,0,0,45
Turkey,2007,181782,191558,2422,864,156,35851,0,0,355
Mexico,1999,182254,191510,131,655,5623,32782,7,0,17
Saudi Arabia,2007,185471,190535,0,0,0,0,0,0,0
Spain,1997,177538,190396,7670,4597,0,36002,13,0,742
Ukraine,2010,169773,188857,4078,23,0,13158,1,0,51
Other Asia,2001,174563,188531,0,0,0,9169,0,0,12
South Africa,1995,169744,187825,3000,149,0,1803,0,0,0
Ukraine,2005,162893,186055,10068,1715,0,12505,0,0,38
Other Asia,2000,172092,184852,0,0,0,8870,0,0,0
"Korea, Republic of",1995,172118,183857,0,0,0,5478,2,0,0
Australia,1997,171242,182939,0,0,0,16852,23,0,7
Ukraine,2014,158872,182815,8523,89,0,9318,429,0,1130
South Africa,1994,167490,182452,1583,58,0,2591,0,0,0
Indonesia,2011,178044,182389,0,2542,9371,12419,1,0,5
Mexico,1998,173560,182304,77,1510,5657,24625,7,0,15
Ukraine,2004,162599,182165,7529,2203,0,11888,0,0,33
Ukraine,1996,165933,181986,6183,4166,0,8833,0,0,0
Saudi Arabia,2006,176950,181434,0,0,0,0,0,0,0
Thailand,2014,179330,180862,2066,12260,1,5540,1385,0,305
Ukraine,2003,161409,180360,12175,7236,0,9390,0,0,31
Iran (Islamic Rep. of),2005,169589.35,178088.35,2759,2084,0,16100,0.05,0,71
Ukraine,1997,164682,178002,9873,9719,0,10032,0,0,0
Australia,1996,165963,177598,0,0,0,15731,19,0,7
Egypt,2014,165710,177249,470,81,0,13979,247,0,1315
Turkey,2006,167880,176299,2236,573,94,44244,0,0,127
Saudi Arabia,2005,171863,176124,0,0,0,0,0,0,0
Thailand,2013,174662,175531,1794,12569,1,5748,1080,0,305
South Africa,1993,159736,174581,1565,101,0,1491,0,0,0
Spain,1996,167113,174453,5690,6750,0,40874,12,0,364
Ukraine,2002,156876,173734,8576,5461,0,9789,0,0,22
Ukraine,2009,154902,173645,4294,25,0,11936,0,0,43
